id,class,method,allPerm,dangerousPerm,permTag
68,android.bluetooth.BluetoothA2dp,getConnectionState,BLUETOOTH;BLUETOOTH_CONNECT;,BLUETOOTH_CONNECT;,"
<p>Get the current connection state of the profile
 
 <br/>
 For apps targeting <code dir=""ltr"" translate=""no""><a href=""/reference/android/os/Build.VERSION_CODES#S"">Build.VERSION_CODES#S</a></code> or or higher,
 this requires the <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#BLUETOOTH_CONNECT"">Manifest.permission#BLUETOOTH_CONNECT</a></code>
 permission which can be gained with
 <code dir=""ltr"" translate=""no""><a href=""/reference/android/app/Activity#requestPermissions(java.lang.String[],%20int)"">Activity.requestPermissions(String[], int)</a></code>.
 
 <br/>
 Requires <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#BLUETOOTH_CONNECT"">Manifest.permission.BLUETOOTH_CONNECT</a></code></p>"
69,android.bluetooth.BluetoothA2dp,getDevicesMatchingConnectionStates,BLUETOOTH;BLUETOOTH_CONNECT;,BLUETOOTH_CONNECT;,"
<p> If none of the devices match any of the given states,
 an empty list will be returned.
 
 <br/>
 For apps targeting <code dir=""ltr"" translate=""no""><a href=""/reference/android/os/Build.VERSION_CODES#S"">Build.VERSION_CODES#S</a></code> or or higher,
 this requires the <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#BLUETOOTH_CONNECT"">Manifest.permission#BLUETOOTH_CONNECT</a></code>
 permission which can be gained with
 <code dir=""ltr"" translate=""no""><a href=""/reference/android/app/Activity#requestPermissions(java.lang.String[],%20int)"">Activity.requestPermissions(String[], int)</a></code>.
 
 <br/>
 Requires <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#BLUETOOTH_CONNECT"">Manifest.permission.BLUETOOTH_CONNECT</a></code></p>"
70,android.bluetooth.BluetoothA2dp,isA2dpPlaying,BLUETOOTH;BLUETOOTH_CONNECT;,BLUETOOTH_CONNECT;,"
<p>Check if A2DP profile is streaming music.

 <br/>
 For apps targeting <code dir=""ltr"" translate=""no""><a href=""/reference/android/os/Build.VERSION_CODES#R"">Build.VERSION_CODES#R</a></code> or lower, this
 requires the <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#BLUETOOTH"">Manifest.permission#BLUETOOTH</a></code> permission
 which can be gained with a simple <code dir=""ltr"" translate=""no"">&lt;uses-permission&gt;</code>
 manifest tag.
 <br/>
 For apps targeting <code dir=""ltr"" translate=""no""><a href=""/reference/android/os/Build.VERSION_CODES#S"">Build.VERSION_CODES#S</a></code> or or higher,
 this requires the <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#BLUETOOTH_CONNECT"">Manifest.permission#BLUETOOTH_CONNECT</a></code>
 permission which can be gained with
 <code dir=""ltr"" translate=""no""><a href=""/reference/android/app/Activity#requestPermissions(java.lang.String[],%20int)"">Activity.requestPermissions(String[], int)</a></code>.
 <br/>
 Requires <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#BLUETOOTH_CONNECT"">Manifest.permission.BLUETOOTH_CONNECT</a></code></p>"
71,android.bluetooth.BluetoothAdapter,cancelDiscovery,BLUETOOTH;BLUETOOTH_ADMIN;BLUETOOTH_SCAN;,BLUETOOTH_SCAN;,"
<p>If Bluetooth state is not <code dir=""ltr"" translate=""no""><a href=""/reference/android/bluetooth/BluetoothAdapter#STATE_ON"">STATE_ON</a></code>, this API
 will return false. After turning on Bluetooth,
 wait for <code dir=""ltr"" translate=""no""><a href=""/reference/android/bluetooth/BluetoothAdapter#ACTION_STATE_CHANGED"">ACTION_STATE_CHANGED</a></code> with <code dir=""ltr"" translate=""no""><a href=""/reference/android/bluetooth/BluetoothAdapter#STATE_ON"">STATE_ON</a></code>
 to get the updated value.

 <br/>
 For apps targeting <code dir=""ltr"" translate=""no""><a href=""/reference/android/os/Build.VERSION_CODES#R"">Build.VERSION_CODES#R</a></code> or lower, this
 requires the <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#BLUETOOTH_ADMIN"">Manifest.permission#BLUETOOTH_ADMIN</a></code>
 permission which can be gained with a simple
 <code dir=""ltr"" translate=""no"">&lt;uses-permission&gt;</code> manifest tag.
 <br/>
 For apps targeting <code dir=""ltr"" translate=""no""><a href=""/reference/android/os/Build.VERSION_CODES#S"">Build.VERSION_CODES#S</a></code> or or higher,
 this requires the <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#BLUETOOTH_SCAN"">Manifest.permission#BLUETOOTH_SCAN</a></code>
 permission which can be gained with
 <code dir=""ltr"" translate=""no""><a href=""/reference/android/app/Activity#requestPermissions(java.lang.String[],%20int)"">Activity.requestPermissions(String[], int)</a></code>.
 <br/>
 Requires <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#BLUETOOTH_SCAN"">Manifest.permission.BLUETOOTH_SCAN</a></code></p>"
72,android.bluetooth.BluetoothAdapter,disable,BLUETOOTH;BLUETOOTH_ADMIN;BLUETOOTH_CONNECT;,BLUETOOTH_CONNECT;,"
<p>This is an asynchronous call: it will return immediately, and
 clients should listen for <code dir=""ltr"" translate=""no""><a href=""/reference/android/bluetooth/BluetoothAdapter#ACTION_STATE_CHANGED"">ACTION_STATE_CHANGED</a></code>
 to be notified of subsequent adapter state changes. If this call returns
 true, then the adapter state will immediately transition from <code dir=""ltr"" translate=""no""><a href=""/reference/android/bluetooth/BluetoothAdapter#STATE_ON"">STATE_ON</a></code> to <code dir=""ltr"" translate=""no""><a href=""/reference/android/bluetooth/BluetoothAdapter#STATE_TURNING_OFF"">STATE_TURNING_OFF</a></code>, and some time
 later transition to either <code dir=""ltr"" translate=""no""><a href=""/reference/android/bluetooth/BluetoothAdapter#STATE_OFF"">STATE_OFF</a></code> or <code dir=""ltr"" translate=""no""><a href=""/reference/android/bluetooth/BluetoothAdapter#STATE_ON"">STATE_ON</a></code>. If this call returns false then there was an
 immediate problem that will prevent the adapter from being turned off -
 such as the adapter already being turned off.

 <br/>
 For apps targeting <code dir=""ltr"" translate=""no""><a href=""/reference/android/os/Build.VERSION_CODES#R"">Build.VERSION_CODES#R</a></code> or lower, this
 requires the <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#BLUETOOTH_ADMIN"">Manifest.permission#BLUETOOTH_ADMIN</a></code>
 permission which can be gained with a simple
 <code dir=""ltr"" translate=""no"">&lt;uses-permission&gt;</code> manifest tag.
 <br/>
 For apps targeting <code dir=""ltr"" translate=""no""><a href=""/reference/android/os/Build.VERSION_CODES#S"">Build.VERSION_CODES#S</a></code> or or higher,
 this requires the <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#BLUETOOTH_CONNECT"">Manifest.permission#BLUETOOTH_CONNECT</a></code>
 permission which can be gained with
 <code dir=""ltr"" translate=""no""><a href=""/reference/android/app/Activity#requestPermissions(java.lang.String[],%20int)"">Activity.requestPermissions(String[], int)</a></code>.
 <br/>
 Requires <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#BLUETOOTH_CONNECT"">Manifest.permission.BLUETOOTH_CONNECT</a></code></p>"
73,android.bluetooth.BluetoothAdapter,enable,BLUETOOTH;BLUETOOTH_ADMIN;BLUETOOTH_CONNECT;,BLUETOOTH_CONNECT;,"
<p class=""caution""><strong>Bluetooth should never be enabled without
 direct user consent</strong>. If you want to turn on Bluetooth in order
 to create a wireless connection, you should use the <code dir=""ltr"" translate=""no""><a href=""/reference/android/bluetooth/BluetoothAdapter#ACTION_REQUEST_ENABLE"">ACTION_REQUEST_ENABLE</a></code> Intent, which will raise a dialog that requests
 user permission to turn on Bluetooth. The <code dir=""ltr"" translate=""no""><a href=""/reference/android/bluetooth/BluetoothAdapter#enable()"">enable()</a></code> method is
 provided only for applications that include a user interface for changing
 system settings, such as a ""power manager"" app.</p>
<p>This is an asynchronous call: it will return immediately, and
 clients should listen for <code dir=""ltr"" translate=""no""><a href=""/reference/android/bluetooth/BluetoothAdapter#ACTION_STATE_CHANGED"">ACTION_STATE_CHANGED</a></code>
 to be notified of subsequent adapter state changes. If this call returns
 true, then the adapter state will immediately transition from <code dir=""ltr"" translate=""no""><a href=""/reference/android/bluetooth/BluetoothAdapter#STATE_OFF"">STATE_OFF</a></code> to <code dir=""ltr"" translate=""no""><a href=""/reference/android/bluetooth/BluetoothAdapter#STATE_TURNING_ON"">STATE_TURNING_ON</a></code>, and some time
 later transition to either <code dir=""ltr"" translate=""no""><a href=""/reference/android/bluetooth/BluetoothAdapter#STATE_OFF"">STATE_OFF</a></code> or <code dir=""ltr"" translate=""no""><a href=""/reference/android/bluetooth/BluetoothAdapter#STATE_ON"">STATE_ON</a></code>. If this call returns false then there was an
 immediate problem that will prevent the adapter from being turned on -
 such as Airplane mode, or the adapter is already turned on.

 <br/>
 For apps targeting <code dir=""ltr"" translate=""no""><a href=""/reference/android/os/Build.VERSION_CODES#R"">Build.VERSION_CODES#R</a></code> or lower, this
 requires the <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#BLUETOOTH_ADMIN"">Manifest.permission#BLUETOOTH_ADMIN</a></code>
 permission which can be gained with a simple
 <code dir=""ltr"" translate=""no"">&lt;uses-permission&gt;</code> manifest tag.
 <br/>
 For apps targeting <code dir=""ltr"" translate=""no""><a href=""/reference/android/os/Build.VERSION_CODES#S"">Build.VERSION_CODES#S</a></code> or or higher,
 this requires the <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#BLUETOOTH_CONNECT"">Manifest.permission#BLUETOOTH_CONNECT</a></code>
 permission which can be gained with
 <code dir=""ltr"" translate=""no""><a href=""/reference/android/app/Activity#requestPermissions(java.lang.String[],%20int)"">Activity.requestPermissions(String[], int)</a></code>.
 <br/>
 Requires <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#BLUETOOTH_CONNECT"">Manifest.permission.BLUETOOTH_CONNECT</a></code></p>"
74,android.bluetooth.BluetoothAdapter,getAddress,BLUETOOTH;BLUETOOTH_CONNECT;,BLUETOOTH_CONNECT;,"
<p>For example, ""00:11:22:AA:BB:CC"".

 <br/>
 For apps targeting <code dir=""ltr"" translate=""no""><a href=""/reference/android/os/Build.VERSION_CODES#R"">Build.VERSION_CODES#R</a></code> or lower, this
 requires the <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#BLUETOOTH"">Manifest.permission#BLUETOOTH</a></code> permission
 which can be gained with a simple <code dir=""ltr"" translate=""no"">&lt;uses-permission&gt;</code>
 manifest tag.
 <br/>
 For apps targeting <code dir=""ltr"" translate=""no""><a href=""/reference/android/os/Build.VERSION_CODES#S"">Build.VERSION_CODES#S</a></code> or or higher,
 this requires the <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#BLUETOOTH_CONNECT"">Manifest.permission#BLUETOOTH_CONNECT</a></code>
 permission which can be gained with
 <code dir=""ltr"" translate=""no""><a href=""/reference/android/app/Activity#requestPermissions(java.lang.String[],%20int)"">Activity.requestPermissions(String[], int)</a></code>.</p>
<table class=""responsive"">
      <tbody><tr><th colspan=""2"">Returns</th></tr>
      <tr>
        <td><code dir=""ltr"" translate=""no""><a href=""/reference/java/lang/String"">String</a></code></td>
        <td width=""100%"">Bluetooth hardware address as string

 Requires <code dir=""ltr"" translate=""no"">android.Manifest.permission#LOCAL_MAC_ADDRESS</code> and
 <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#BLUETOOTH_CONNECT"">Manifest.permission.BLUETOOTH_CONNECT</a></code>.<p></p></td>
      </tr>
    </tbody></table>"
75,android.bluetooth.BluetoothAdapter,getBondedDevices,BLUETOOTH;BLUETOOTH_CONNECT;,BLUETOOTH_CONNECT;,"
<p>If Bluetooth state is not <code dir=""ltr"" translate=""no""><a href=""/reference/android/bluetooth/BluetoothAdapter#STATE_ON"">STATE_ON</a></code>, this API
 will return an empty set. After turning on Bluetooth,
 wait for <code dir=""ltr"" translate=""no""><a href=""/reference/android/bluetooth/BluetoothAdapter#ACTION_STATE_CHANGED"">ACTION_STATE_CHANGED</a></code> with <code dir=""ltr"" translate=""no""><a href=""/reference/android/bluetooth/BluetoothAdapter#STATE_ON"">STATE_ON</a></code>
 to get the updated value.

 <br/>
 For apps targeting <code dir=""ltr"" translate=""no""><a href=""/reference/android/os/Build.VERSION_CODES#R"">Build.VERSION_CODES#R</a></code> or lower, this
 requires the <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#BLUETOOTH"">Manifest.permission#BLUETOOTH</a></code> permission
 which can be gained with a simple <code dir=""ltr"" translate=""no"">&lt;uses-permission&gt;</code>
 manifest tag.
 <br/>
 For apps targeting <code dir=""ltr"" translate=""no""><a href=""/reference/android/os/Build.VERSION_CODES#S"">Build.VERSION_CODES#S</a></code> or or higher,
 this requires the <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#BLUETOOTH_CONNECT"">Manifest.permission#BLUETOOTH_CONNECT</a></code>
 permission which can be gained with
 <code dir=""ltr"" translate=""no""><a href=""/reference/android/app/Activity#requestPermissions(java.lang.String[],%20int)"">Activity.requestPermissions(String[], int)</a></code>.
 <br/>
 Requires <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#BLUETOOTH_CONNECT"">Manifest.permission.BLUETOOTH_CONNECT</a></code></p>"
76,android.bluetooth.BluetoothAdapter,getLeMaximumAdvertisingDataLength,BLUETOOTH;,,"
<p>Return the maximum LE advertising data length in bytes,
 if LE Extended Advertising feature is supported, 0 otherwise.

 <br/>
 For apps targeting <code dir=""ltr"" translate=""no""><a href=""/reference/android/os/Build.VERSION_CODES#R"">Build.VERSION_CODES#R</a></code> or lower, this
 requires the <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#BLUETOOTH"">Manifest.permission#BLUETOOTH</a></code> permission
 which can be gained with a simple <code dir=""ltr"" translate=""no"">&lt;uses-permission&gt;</code>
 manifest tag.</p>"
77,android.bluetooth.BluetoothAdapter,getName,BLUETOOTH;BLUETOOTH_CONNECT;,BLUETOOTH_CONNECT;,"
<p>This name is visible to remote Bluetooth devices.

 <br/>
 For apps targeting <code dir=""ltr"" translate=""no""><a href=""/reference/android/os/Build.VERSION_CODES#R"">Build.VERSION_CODES#R</a></code> or lower, this
 requires the <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#BLUETOOTH"">Manifest.permission#BLUETOOTH</a></code> permission
 which can be gained with a simple <code dir=""ltr"" translate=""no"">&lt;uses-permission&gt;</code>
 manifest tag.
 <br/>
 For apps targeting <code dir=""ltr"" translate=""no""><a href=""/reference/android/os/Build.VERSION_CODES#S"">Build.VERSION_CODES#S</a></code> or or higher,
 this requires the <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#BLUETOOTH_CONNECT"">Manifest.permission#BLUETOOTH_CONNECT</a></code>
 permission which can be gained with
 <code dir=""ltr"" translate=""no""><a href=""/reference/android/app/Activity#requestPermissions(java.lang.String[],%20int)"">Activity.requestPermissions(String[], int)</a></code>.
 <br/>
 Requires <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#BLUETOOTH_CONNECT"">Manifest.permission.BLUETOOTH_CONNECT</a></code></p>"
78,android.bluetooth.BluetoothAdapter,getProfileConnectionState,BLUETOOTH;BLUETOOTH_CONNECT;,BLUETOOTH_CONNECT;,"
<p> Return value can be one of
 <code dir=""ltr"" translate=""no""><a href=""/reference/android/bluetooth/BluetoothProfile#STATE_DISCONNECTED"">BluetoothProfile#STATE_DISCONNECTED</a></code>,
 <code dir=""ltr"" translate=""no""><a href=""/reference/android/bluetooth/BluetoothProfile#STATE_CONNECTING"">BluetoothProfile#STATE_CONNECTING</a></code>,
 <code dir=""ltr"" translate=""no""><a href=""/reference/android/bluetooth/BluetoothProfile#STATE_CONNECTED"">BluetoothProfile#STATE_CONNECTED</a></code>,
 <code dir=""ltr"" translate=""no""><a href=""/reference/android/bluetooth/BluetoothProfile#STATE_DISCONNECTING"">BluetoothProfile#STATE_DISCONNECTING</a></code>
 
 <br/>
 For apps targeting <code dir=""ltr"" translate=""no""><a href=""/reference/android/os/Build.VERSION_CODES#R"">Build.VERSION_CODES#R</a></code> or lower, this
 requires the <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#BLUETOOTH"">Manifest.permission#BLUETOOTH</a></code> permission
 which can be gained with a simple <code dir=""ltr"" translate=""no"">&lt;uses-permission&gt;</code>
 manifest tag.
 
 <br/>
 For apps targeting <code dir=""ltr"" translate=""no""><a href=""/reference/android/os/Build.VERSION_CODES#S"">Build.VERSION_CODES#S</a></code> or or higher,
 this requires the <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#BLUETOOTH_CONNECT"">Manifest.permission#BLUETOOTH_CONNECT</a></code>
 permission which can be gained with
 <code dir=""ltr"" translate=""no""><a href=""/reference/android/app/Activity#requestPermissions(java.lang.String[],%20int)"">Activity.requestPermissions(String[], int)</a></code>.
 
 <br/>
 Requires <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#BLUETOOTH_CONNECT"">Manifest.permission.BLUETOOTH_CONNECT</a></code></p>"
79,android.bluetooth.BluetoothAdapter,getScanMode,BLUETOOTH;BLUETOOTH_SCAN;,BLUETOOTH_SCAN;,"
<p>If Bluetooth state is not <code dir=""ltr"" translate=""no""><a href=""/reference/android/bluetooth/BluetoothAdapter#STATE_ON"">STATE_ON</a></code>, this API
 will return <code dir=""ltr"" translate=""no""><a href=""/reference/android/bluetooth/BluetoothAdapter#SCAN_MODE_NONE"">SCAN_MODE_NONE</a></code>. After turning on Bluetooth,
 wait for <code dir=""ltr"" translate=""no""><a href=""/reference/android/bluetooth/BluetoothAdapter#ACTION_STATE_CHANGED"">ACTION_STATE_CHANGED</a></code> with <code dir=""ltr"" translate=""no""><a href=""/reference/android/bluetooth/BluetoothAdapter#STATE_ON"">STATE_ON</a></code>
 to get the updated value.

 <br/>
 For apps targeting <code dir=""ltr"" translate=""no""><a href=""/reference/android/os/Build.VERSION_CODES#R"">Build.VERSION_CODES#R</a></code> or lower, this
 requires the <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#BLUETOOTH"">Manifest.permission#BLUETOOTH</a></code> permission
 which can be gained with a simple <code dir=""ltr"" translate=""no"">&lt;uses-permission&gt;</code>
 manifest tag.
 <br/>
 For apps targeting <code dir=""ltr"" translate=""no""><a href=""/reference/android/os/Build.VERSION_CODES#S"">Build.VERSION_CODES#S</a></code> or or higher,
 this requires the <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#BLUETOOTH_SCAN"">Manifest.permission#BLUETOOTH_SCAN</a></code>
 permission which can be gained with
 <code dir=""ltr"" translate=""no""><a href=""/reference/android/app/Activity#requestPermissions(java.lang.String[],%20int)"">Activity.requestPermissions(String[], int)</a></code>.
 <br/>
 Requires <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#BLUETOOTH_SCAN"">Manifest.permission.BLUETOOTH_SCAN</a></code></p>"
80,android.bluetooth.BluetoothAdapter,getState,BLUETOOTH;,,"
<p>Possible return values are
 <code dir=""ltr"" translate=""no""><a href=""/reference/android/bluetooth/BluetoothAdapter#STATE_OFF"">STATE_OFF</a></code>,
 <code dir=""ltr"" translate=""no""><a href=""/reference/android/bluetooth/BluetoothAdapter#STATE_TURNING_ON"">STATE_TURNING_ON</a></code>,
 <code dir=""ltr"" translate=""no""><a href=""/reference/android/bluetooth/BluetoothAdapter#STATE_ON"">STATE_ON</a></code>,
 <code dir=""ltr"" translate=""no""><a href=""/reference/android/bluetooth/BluetoothAdapter#STATE_TURNING_OFF"">STATE_TURNING_OFF</a></code>.

 <br/>
 For apps targeting <code dir=""ltr"" translate=""no""><a href=""/reference/android/os/Build.VERSION_CODES#R"">Build.VERSION_CODES#R</a></code> or lower, this
 requires the <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#BLUETOOTH"">Manifest.permission#BLUETOOTH</a></code> permission
 which can be gained with a simple <code dir=""ltr"" translate=""no"">&lt;uses-permission&gt;</code>
 manifest tag.</p>"
81,android.bluetooth.BluetoothAdapter,isDiscovering,BLUETOOTH;BLUETOOTH_SCAN;,BLUETOOTH_SCAN;,"
<p>If Bluetooth state is not <code dir=""ltr"" translate=""no""><a href=""/reference/android/bluetooth/BluetoothAdapter#STATE_ON"">STATE_ON</a></code>, this API
 will return false. After turning on Bluetooth,
 wait for <code dir=""ltr"" translate=""no""><a href=""/reference/android/bluetooth/BluetoothAdapter#ACTION_STATE_CHANGED"">ACTION_STATE_CHANGED</a></code> with <code dir=""ltr"" translate=""no""><a href=""/reference/android/bluetooth/BluetoothAdapter#STATE_ON"">STATE_ON</a></code>
 to get the updated value.

 <br/>
 For apps targeting <code dir=""ltr"" translate=""no""><a href=""/reference/android/os/Build.VERSION_CODES#R"">Build.VERSION_CODES#R</a></code> or lower, this
 requires the <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#BLUETOOTH"">Manifest.permission#BLUETOOTH</a></code> permission
 which can be gained with a simple <code dir=""ltr"" translate=""no"">&lt;uses-permission&gt;</code>
 manifest tag.
 <br/>
 For apps targeting <code dir=""ltr"" translate=""no""><a href=""/reference/android/os/Build.VERSION_CODES#S"">Build.VERSION_CODES#S</a></code> or or higher,
 this requires the <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#BLUETOOTH_SCAN"">Manifest.permission#BLUETOOTH_SCAN</a></code>
 permission which can be gained with
 <code dir=""ltr"" translate=""no""><a href=""/reference/android/app/Activity#requestPermissions(java.lang.String[],%20int)"">Activity.requestPermissions(String[], int)</a></code>.
 <br/>
 Requires <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#BLUETOOTH_SCAN"">Manifest.permission.BLUETOOTH_SCAN</a></code></p>"
82,android.bluetooth.BluetoothAdapter,isEnabled,BLUETOOTH;,,"
<p>Equivalent to:
 <code dir=""ltr"" translate=""no"">getBluetoothState() == STATE_ON</code>

 <br/>
 For apps targeting <code dir=""ltr"" translate=""no""><a href=""/reference/android/os/Build.VERSION_CODES#R"">Build.VERSION_CODES#R</a></code> or lower, this
 requires the <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#BLUETOOTH"">Manifest.permission#BLUETOOTH</a></code> permission
 which can be gained with a simple <code dir=""ltr"" translate=""no"">&lt;uses-permission&gt;</code>
 manifest tag.</p>"
83,android.bluetooth.BluetoothAdapter,isLe2MPhySupported,BLUETOOTH;,,"
<p>Return true if LE 2M PHY feature is supported.

 <br/>
 For apps targeting <code dir=""ltr"" translate=""no""><a href=""/reference/android/os/Build.VERSION_CODES#R"">Build.VERSION_CODES#R</a></code> or lower, this
 requires the <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#BLUETOOTH"">Manifest.permission#BLUETOOTH</a></code> permission
 which can be gained with a simple <code dir=""ltr"" translate=""no"">&lt;uses-permission&gt;</code>
 manifest tag.</p>"
84,android.bluetooth.BluetoothAdapter,isLeCodedPhySupported,BLUETOOTH;,,"
<p>Return true if LE Coded PHY feature is supported.

 <br/>
 For apps targeting <code dir=""ltr"" translate=""no""><a href=""/reference/android/os/Build.VERSION_CODES#R"">Build.VERSION_CODES#R</a></code> or lower, this
 requires the <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#BLUETOOTH"">Manifest.permission#BLUETOOTH</a></code> permission
 which can be gained with a simple <code dir=""ltr"" translate=""no"">&lt;uses-permission&gt;</code>
 manifest tag.</p>"
85,android.bluetooth.BluetoothAdapter,isLeExtendedAdvertisingSupported,BLUETOOTH;,,"
<p>Return true if LE Extended Advertising feature is supported.

 <br/>
 For apps targeting <code dir=""ltr"" translate=""no""><a href=""/reference/android/os/Build.VERSION_CODES#R"">Build.VERSION_CODES#R</a></code> or lower, this
 requires the <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#BLUETOOTH"">Manifest.permission#BLUETOOTH</a></code> permission
 which can be gained with a simple <code dir=""ltr"" translate=""no"">&lt;uses-permission&gt;</code>
 manifest tag.</p>"
86,android.bluetooth.BluetoothAdapter,isLePeriodicAdvertisingSupported,BLUETOOTH;,,"
<p>Return true if LE Periodic Advertising feature is supported.

 <br/>
 For apps targeting <code dir=""ltr"" translate=""no""><a href=""/reference/android/os/Build.VERSION_CODES#R"">Build.VERSION_CODES#R</a></code> or lower, this
 requires the <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#BLUETOOTH"">Manifest.permission#BLUETOOTH</a></code> permission
 which can be gained with a simple <code dir=""ltr"" translate=""no"">&lt;uses-permission&gt;</code>
 manifest tag.</p>"
87,android.bluetooth.BluetoothAdapter,isMultipleAdvertisementSupported,BLUETOOTH;,,"
<p>Return true if the multi advertisement is supported by the chipset

 <br/>
 For apps targeting <code dir=""ltr"" translate=""no""><a href=""/reference/android/os/Build.VERSION_CODES#R"">Build.VERSION_CODES#R</a></code> or lower, this
 requires the <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#BLUETOOTH"">Manifest.permission#BLUETOOTH</a></code> permission
 which can be gained with a simple <code dir=""ltr"" translate=""no"">&lt;uses-permission&gt;</code>
 manifest tag.</p>"
88,android.bluetooth.BluetoothAdapter,isOffloadedFilteringSupported,BLUETOOTH;,,"
<p>Return true if offloaded filters are supported

 <br/>
 For apps targeting <code dir=""ltr"" translate=""no""><a href=""/reference/android/os/Build.VERSION_CODES#R"">Build.VERSION_CODES#R</a></code> or lower, this
 requires the <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#BLUETOOTH"">Manifest.permission#BLUETOOTH</a></code> permission
 which can be gained with a simple <code dir=""ltr"" translate=""no"">&lt;uses-permission&gt;</code>
 manifest tag.</p>"
89,android.bluetooth.BluetoothAdapter,isOffloadedScanBatchingSupported,BLUETOOTH;,,"
<p>Return true if offloaded scan batching is supported

 <br/>
 For apps targeting <code dir=""ltr"" translate=""no""><a href=""/reference/android/os/Build.VERSION_CODES#R"">Build.VERSION_CODES#R</a></code> or lower, this
 requires the <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#BLUETOOTH"">Manifest.permission#BLUETOOTH</a></code> permission
 which can be gained with a simple <code dir=""ltr"" translate=""no"">&lt;uses-permission&gt;</code>
 manifest tag.</p>"
